Date,ALI=F,CL=F,COPX,DX-Y.NYB,GC=F,HG=F,ITA,PICK,PRNT,SPY,VIS,XAR,XLB,XLI,XME,^VIX
2018-05-15,,,,,,,,,,,,,,,,14.630000114440918
2018-05-16,2300.0,71.48999786376953,23.062850952148438,93.38999938964844,1290.199951171875,3.058500051498413,90.59098815917969,25.62755012512207,24.617048263549805,240.5760498046875,124.78135681152344,82.4600830078125,25.35112762451172,65.19353485107422,33.87826919555664,13.420000076293945
2018-05-17,2300.0,71.48999786376953,23.054431915283203,93.47000122070312,1288.199951171875,3.0769999027252197,91.22755432128906,25.704639434814453,24.615089416503906,240.3727569580078,125.3245620727539,83.30048370361328,25.4106388092041,65.44697570800781,34.20271682739258,13.430000305175781
2018-05-18,2300.0,71.27999877929688,22.86911964416504,93.63999938964844,1290.199951171875,3.0510001182556152,91.841064453125,25.25614356994629,24.54656982421875,239.7718505859375,126.0726547241211,83.86700439453125,25.444643020629883,65.83149719238281,34.08554458618164,13.420000076293945
2018-05-21,2300.0,72.23999786376953,23.029159545898438,93.68000030517578,1290.199951171875,3.0855000019073486,93.22027587890625,25.459365844726562,24.699270248413086,241.57460021972656,127.82699584960938,85.01895904541016,25.580657958984375,66.8277359008789,33.86924362182617,13.079999923706055
2018-05-22,2300.0,72.12999725341797,23.1723575592041,93.61000061035156,1291.699951171875,3.11899995803833,92.00712585449219,25.452362060546875,24.89210319519043,240.90298461914062,126.17942810058594,83.90474700927734,25.368131637573242,66.00627136230469,33.72504425048828,13.220000267028809
2018-05-23,2300.0,71.83999633789062,22.62484359741211,94.01000213623047,1289.300048828125,3.060499906539917,92.63910675048828,24.996849060058594,24.71786880493164,241.5657501220703,125.9835433959961,84.2824478149414,25.308622360229492,65.94508361816406,33.5447998046875,12.579999923706055
2018-05-24,2300.0,70.70999908447266,22.296337127685547,93.77999877929688,1303.699951171875,3.0855000019073486,93.2710189819336,24.870718002319336,24.480987548828125,241.07090759277344,126.63368225097656,84.83953857421875,25.2193546295166,66.26841735839844,33.61688995361328,12.529999732971191
2018-05-25,2300.0,67.87999725341797,21.90044593811035,94.19000244140625,1303.300048828125,3.066999912261963,92.8282241821289,24.394182205200195,24.42127799987793,240.49647521972656,126.4644546508789,84.39579772949219,25.08333396911621,66.1460952758789,33.19330978393555,13.220000267028809
2018-05-29,2300.0,66.7300033569336,21.20973777770996,94.83000183105469,1298.699951171875,3.052000045776367,91.76726531982422,23.854585647583008,24.118812561035156,237.7305145263672,124.69227600097656,83.62149047851562,24.649757385253906,65.08866882324219,33.12120056152344,17.020000457763672
2018-05-30,2305.0,68.20999908447266,21.723556518554688,94.1500015258789,1301.5,3.059499979019165,92.97119140625,24.317096710205078,24.627817153930664,240.90298461914062,126.3575668334961,84.68849182128906,24.938810348510742,66.00627136230469,33.81515884399414,14.9399995803833
2018-05-31,2305.0,67.04000091552734,21.62247657775879,93.98999786376953,1300.0999755859375,3.058000087738037,91.83643341064453,24.2890682220459,24.62096405029297,239.42721557617188,124.56761169433594,83.73478698730469,24.73052215576172,65.05371856689453,33.80615997314453,15.430000305175781
2018-06-01,2305.0,65.80999755859375,21.824634552001953,94.19000244140625,1294.800048828125,3.0915000438690186,92.74516296386719,24.653467178344727,24.324373245239258,241.7779083251953,125.9301528930664,84.5562973022461,25.108829498291016,65.77031707763672,34.10356903076172,13.460000038146973
2018-06-04,2305.0,64.75,22.119449615478516,94.0199966430664,1293.0999755859375,3.126499891281128,93.0819091796875,24.84268569946289,24.666967391967773,242.92672729492188,125.91234588623047,84.84899139404297,25.25335693359375,65.6741714477539,33.95035934448242,12.739999771118164
2018-06-05,2305.0,65.5199966430664,22.574304580688477,93.88999938964844,1297.5,3.190999984741211,93.09114837646484,25.003860473632812,24.91069793701172,243.1033935546875,126.36652374267578,84.9528579711914,25.444643020629883,65.75281524658203,34.3469123840332,12.399999618530273
2018-06-06,2305.0,64.7300033569336,23.1723575592041,93.66000366210938,1297.0999755859375,3.254499912261963,93.99523162841797,25.620548248291016,25.04871940612793,245.13587951660156,127.40840148925781,85.63272857666016,25.916458129882812,66.3033676147461,34.806556701660156,11.640000343322754
2018-06-07,2305.0,65.94999694824219,23.062850952148438,93.4000015258789,1298.699951171875,3.2679998874664307,93.91222381591797,25.375272750854492,24.773662567138672,245.10931396484375,127.72900390625,85.47220611572266,25.78469467163086,66.58303833007812,34.50913619995117,12.130000114440918
2018-06-08,2305.0,65.73999786376953,22.88596534729004,93.55000305175781,1298.0999755859375,3.2929999828338623,94.56262969970703,25.22810935974121,24.92146873474121,245.8339385986328,128.25445556640625,86.35033416748047,25.856956481933594,66.80150604248047,34.31086349487305,12.180000305175781
2018-06-11,2305.0,66.0999984741211,22.928083419799805,93.58000183105469,1298.9000244140625,3.250499963760376,94.20282745361328,25.2841796875,25.15639305114746,246.1610107421875,128.51268005371094,86.02928924560547,25.89520835876465,66.9325942993164,34.527164459228516,12.350000381469727
2018-06-12,2305.0,66.36000061035156,22.784883499145508,93.80000305175781,1295.0999755859375,3.242500066757202,93.30792236328125,24.954801559448242,25.283641815185547,246.47911071777344,128.4503936767578,85.15116882324219,25.929216384887695,66.86271667480469,34.51813507080078,12.34000015258789
2018-06-13,2305.0,66.63999938964844,22.607999801635742,93.70999908447266,1296.9000244140625,3.247999906539917,92.81436920166016,24.947799682617188,25.418724060058594,245.69256591796875,127.37281036376953,84.9528579711914,25.64867401123047,66.3296127319336,34.21172332763672,12.9399995803833
2018-06-14,2305.0,66.88999938964844,22.26264762878418,94.7699966430664,1304.0,3.2165000438690186,92.14090728759766,24.79362678527832,25.15639305114746,246.3112335205078,127.07893371582031,84.30133819580078,25.686927795410156,66.07618713378906,34.46407699584961,12.119999885559082
